M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,256,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,256,7168,False,torch.bfloat16,torch.bfloat16,False,False
